Sentence,class,file
"http://dx.doi   .org/10.1038/nrm352 2 Joselin, A.P., K. Schulze-Osthoff, and C. Schwerk.",Non-OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi   .org/10.1074/jbc.M50985920 0 Juhász, G., and T.P.",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.4161/auto.557 2 Juhász, G., J.H.",Non-OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"181:655– 666. http://dx.doi.org/10.1083/jcb.20071205 1 Kang, C., Y .J.",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1101/gad.157310 7 Klionsky, D.J., and Y .",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
http://dx.doi   .org/10.1146/annurev.cellbio.15.1.,OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
Online supplemental material is available at http://www.jcb.org/ cgi/content/full/jcb.201404028/DC 1.,Non-OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
Additional data are available in  the JCB DataViewer at http://dx.doi.org/10.1083/jcb.201404028.dv.,OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1083/jcb   .20100811 9 Amarneh, B., K.A.",Non-OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1074/jbc   .M90034620 0 Bai, H., P. Kang, A.M. Hernandez, and M. Tatar.",Non-OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
http://dx.doi.org/10.1371/journal.,Non-OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1038/cdd.2010.15 7 Berry, D.L., and E.H. Baehrecke.",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1016/j.cell.2007.10.04 8 Betin, V.M., and J.D.",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1242/jcs.04625 0 Cadwell, K., J.Y .",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
http://dx.doi.org/10.1038/nature0741 6,Non-OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/   10.1016/j.ejcb.2009.05.00 4 Patwa, T.H., Y .",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1002 /  prca.20080009 7 Pulipparacharuvil, S., M.A.",Non-OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1242/jcs.0250 2 Rigou, P., V .",Non-OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"EMBO Rep.  14:172– 177. http://dx.doi.org/10.1038/embor.2012.21 7 Rusten, T.E., K. Lindmo, G. Juhász, M. Sass, P.O.",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1016/j.devcel.2004.07.00 5 Sahara, S., M. Aoto, Y .",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1038/4367 8 Sarkar, S., B. Ravikumar, R.A. Floto, and D.C. Rubinsztein.",Non-OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1038/cdd.2008.11 0 Scherzinger, E., R. Lurz, M. Turmaine, L. Mangiarini, B. Hollenbach, R.  Hasenbank, G.P.",Non-OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi   .org/10.1016/S0092-8674(00)80514- 0 Schwerk, C., J. Prasad, K. Degenhardt, H. Erdjument-Bromage, E. White,  P. Tempst, V.J.",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10   .1128/MCB.23.8.2981-2990.200 3 Scott, R.C., O. Schuldiner, and T.P.",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1016/j.devcel.2004.07.00 9 Scott, R.C., G. Juhász, and T.P.",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1016/j.cub.2006.10.05 3 Settembre, C., R. Zoncu, D.L.",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10   .1038/emboj.2012.3 2 Shoji-Kawata, S., R. Sumpter, M. Leveno, G.R.",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"494:201– 206. http://dx.doi.org/10.1038/nature1186 6 Shu, Y ., T. Iijima, W. Sun, J. Kano, T. Ishiyama, C. Okubo, Y .",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.4161/auto.460 4 Simonsen, A., R.C.",Non-OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.4161/auto.526 9 Singh, G., A. Kucukural, C. Cenik, J.D.",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/   10.1016/j.cell.2012.10.00 7 Singh, K.K., S. Erkelenz, S. Rattay, A.K.",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1038/nature0472 3 Kroemer, G., G. Mariño, and B. Levine.",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1016/j.molcel   .2010.09.02 3 la Cour, T., L. Kiemer, A. Mølgaard, R. Gupta, K. Skriver, and S. Brunak.",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1093/protein/gzh06 2 Laplante, M., and D.M.",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1016/j.cell.2012.03.01 7 Laundrie, B., J.S.",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1038/4525 7 Liu, Y ., S. Shoji-Kawata, R.M.",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1074/jbc.M112.37080 9 Luo, S., and D.C. Rubinsztein.",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1038/cdd.2009.12 1 Malone, C.D., C. Mestdagh, J. Akhtar, N. Kreim, P. Deinhard, R. Sachidanandam,  J. Treisman, and J.Y .",Non-OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1101/   gad.245829.11 4 Mariño, G., M. Niso-Santano, E.H. Baehrecke, and G. Kroemer.",Non-OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1038/nrm373 5 Martelli, A.M., G. Tabellini, D. Bressanin, A. Ognibene, K. Goto, L. Cocco,  and C. Evangelisti.",Non-OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1016/   j.bbamcr.2012.08.01 7 Meléndez, A., Z. Tallóczy, M. Seaman, E.L. Eskelinen, D.H. Hall, and B.  Levine.",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi   .org/10.1126/science.108778 2 Mizushima, N., B. Levine, A.M. Cuervo, and D.J.",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1038/nature0663 9 Mizushima, N., T. Yoshimori, and Y .",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/   10.1038/nsmb.224 2 Murthy, A., Y .",Non-OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1038/nature1304 4 Nagy, P., M. Kárpáti, A. Varga, K. Pircs, Z. Venkei, S. Takáts, K. Varga, B.  Erdi, K. Heged űs, and G. Juhász.",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.4161/   auto.2744 2 Nakai, A., O. Yamaguchi, T. Takeda, Y .",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1038/nm157 4 Neufeld, T.P.",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1016/   j.ceb.2009.11.00 5 Orvedahl, A., R. Sumpter Jr., G. Xiao, A. Ng, Z. Zou, Y .",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1261/rna.230441 0 Spencer, B., R. Potkar, M. Trejo, E. Rockenstein, C. Patrick, R. Gindi, A. Adame,  T. Wyss-Coray, and E. Masliah.",Non-OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"29:13578– 13588. http://dx.doi.org/10.1523/JNEUROSCI.4390-09.200 9 Steffan, J.S., L. Bodai, J. Pallos, M. Poelman, A. McCampbell, B.L.",Non-OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/   10.1038/3509956 8 Stenesen, D., J.M.",Non-OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1016/j.cmet.2012.12.00 6 Tange, T.O., T. Shibuya, M.S.",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1261/rna.215590 5 Vellai, T., K. Takács-Vellai, M. Sass, and D.J.",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1016/j.tcb.2009.07.00 7 Venken, K.J., Y .",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10 .1126/   science.113442 6 Wang, R.C., Y .",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"http://dx.doi.org/10.1038/nrc326 2 Williamson, W.R., D. Wang, A.S. Haberman, and P.R.",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
"189:885– 899. http://dx.doi.org/10.1083/jcb.20100306 2 Wirawan, E., L. Vande Walle, K. Kersse, S. Cornelis, S. Claerhout, I.  Vanoverberghe, R. Roelandt, R. De Rycke, J. Verspurten, W. Declercq,  et al.",OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
http://dx.doi.org/10.1016/j.semcdb.,OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
http://dx.doi.org/10.1016/j.ceb.2009.11.01 4,OADS,/arxiv_data1/oa_pdf/24/05/JCB_201404028.PMC4210446.pdf
This article is distributed under the terms of an Attribution– Noncommercial–Share Alike–No Mirror Sites license for the first six months after the pub - lication date (see http://www.rupress.org/terms).,Non-OADS,/arxiv_data1/oa_pdf/d0/65/JCB_201401005.PMC4210447.pdf
"After six months it is available under a  Creative Commons License (Attribution–Noncommercial–Share Alike 3.0 Unported license,  as described at http://creativecommons.org/licenses/by-nc-sa/3.0/).THE JOURNAL OF CELL BIOLOGY",Non-OADS,/arxiv_data1/oa_pdf/d0/65/JCB_201401005.PMC4210447.pdf
